judul,Pasal,Content
PERMEN_BUMN_No_1147_Tahun_2017_cleaned.txt,PASAL 1,"Dalam Peraturan Menteri ini yang dimaksud dengan:   1. Badan Usaha Milik Negara yang selanjutnya disingkat  BUMN adalah badan usaha yang seluruh atau sebagian  besar modalnya dimiliki oleh negara melalui penyertaan  secara langsung yang berasal dari kekayaan negara yang  dipisahkan.   2. Kerja  Sama adalah perikatan hukum antara BUMN  dengan Mitra untuk  mencapai tujuan bersama.   3. Mitra adalah pihak yang  bekerja  sama  dengan BUMN  yang terd iri dari anak perusahaan BUMN, perusahaan  terafiliasi BUMN dan/atau pihak lain.    4. Standar Operasional Prosedur yang selanjutnya disingkat  SOP adalah pedoman atau acuan untuk melaksanakan  tugas pekerjaan."
PERMEN_BUMN_No_1147_Tahun_2017_cleaned.txt,PASAL 2,"Prinsip -prinsip yang harus diperhatikan dala m pelaksanaan   kerja sama sebagai berikut:   a.   Kerja  Sama dilakukan dengan memperhatikan asas  transparansi, kemandirian, akuntabilitas,  pertanggungjawaban, ke manfaatan, dan  kewajaran , serta   sesuai dengan ketentuan  peraturan perundang - undangan ;  b.   Kerja  Sama dilakukan untuk jangka waktu tertentu yang  dicantumkan  dalam perjanjian dan tidak diperkenankan  melakukan kerja sama tanpa batas waktu , kecuali untuk  kerja sama dalam bentuk pendirian perusahaan  patungan (joint venture company );  c.   Kerja  Sama mengutamakan  sinergi antar BUMN  dan/atau anak perusahaan  BUM N dan/atau perusahaan  terafiliasi  BUMN dan peningkatan peran serta usaha  nasional ;  d.   selain Organ  Persero atau Organ Perum, pihak manapun  dilarang ikut campur dalam proses dan pengambilan  keputusan mengenai kerja sama  sesuai dengan  ketentuan peraturan perundang -undangan; dan/atau   e.   Direksi bertanggungjawab atas pelaksanaan kerja sama   untuk kepentingan perusahaan, serta menjamin bebas  dari tekanan, paksaan dan campur tangan dari pihak  lain."
PERMEN_BUMN_No_1147_Tahun_2017_cleaned.txt,PASAL 3,"Kerja  Sama dilakukan berdasarkan pada  kemanfaatan  yang  paling optimal bagi BUMN , yang dalam pelaksanaannya  disesuaikan dengan  karakteristik dan/atau dinamika industri,  sektoral , dan/atau kebutuhan masing -masing BUMN."
PERMEN_BUMN_No_1147_Tahun_2017_cleaned.txt,PASAL 4,Kerja  Sama yang dilakukan oleh BUMN melipu ti:  a. Kerja  Sama dimana BUMN sebagai rekan kerja sama ; dan  b. Kerja  Sama dimana BUMN sebagai pihak yang mencari  Mitra.
PERMEN_BUMN_No_1147_Tahun_2017_cleaned.txt,PASAL 5,"Kerja  Sama dimana BUMN sebagai rekan kerja sama   sebagaimana dimaksud dalam Pasal 4 huruf a dapat  dilakukan dengan  mengacu pada kete ntuan dari rekan kerja  sama , dengan tetap memperhatikan aspek kemanfaatan dan  keuntungan bagi BUMN."
PERMEN_BUMN_No_1147_Tahun_2017_cleaned.txt,PASAL 6,"(1) Kerja  Sama dimana BUMN sebagai pihak yang mencari  Mitra  sebagaimana dimaksud dalam Pasal 4 huruf b,  dilakukan berdasarkan Standar Operasional Prose dur  (SOP) yang ditetapkan oleh Direksi .  (2) SOP sebagaimana dimaksud pada ayat (1) harus  mendapatkan  persetujuan Dewan Komisaris/Dewan  Pengawas BUMN yang bersangkutan dengan berpedoman  pada Peraturan Menteri ini.   (3) SOP sebagaimana dimaksud pada ayat (1)  ditetapk an  oleh Direksi dalam waktu paling lama 6 (enam ) bulan  terhitung sejak tanggal Peraturan Menteri ini  diundangkan .  (4) SOP sebagaimana dimaksud pada ayat ( 1) paling sedikit  mengatur mengenai:   a.   mekanisme pemilihan Mitra, termasuk mekanisme  penunjukan langsung;   b.   dokumen yang diperlukan, antara lain studi  kelayakan (mencakup manfaat paling optimal yang  diperoleh BUMN), rencana bisnis (meliputi aspek  operasional, finansial, hukum dan pasar), kajian  manajemen risiko dan mitigasi risiko;   c.   persyaratan/kualifikasi Mi tra;  d.   tata waktu proses pemilihan Mitra paling lama 90  (sembilan puluh) hari kerja , sejak dokumen  permohonan diajukan Calon Mitra diterima secara  lengkap;   e.   mekanisme  perpanjangan kerja sama, baik terhadap  perjanjian yang telah berakhir, perjanjian yang  sedang berjalan, maupun perjanjian yang akan  datang; dan/atau   f.   materi perjanjian kerja sama  yang melindungi  kepentingan BUMN.   (5) SOP sebagaimana dimaksud pada ayat (4) harus pula  mengatur tata cara penunjukkan Mitra dimana proses  kerja sama tersebut dilakukan  atas inisiatif calon Mitra.   (6) Dalam hal BUMN telah memiliki SOP  terkait kerja sama  dengan Mitra , SOP dimaksud harus sesuai dengan  ketentuan Peraturan Menteri ini dalam waktu paling  lama 6 (enam ) bulan terhitung sejak tanggal Peraturan  Menteri ini diundangk an.  (7) Dalam rangka pelaksanaan kerja sama  dan penyusunan  atau penyesuaian SOP sebagaimana dimaksud pada ayat  (1) dan ayat (3), Direksi harus memperhatikan ketentuan  peraturan perundang -undangan sektoral."
PERMEN_BUMN_No_1147_Tahun_2017_cleaned.txt,PASAL 7,"SOP yang telah ditetapkan oleh Direksi sebaga imana  dimaksud dalam Pasal 6 ayat (1) atau ayat (6), serta  perubahannya apabila ada, harus dilaporkan kepada Menteri  BUMN dalam waktu paling lama 1 (satu) bulan terhitung sejak  tanggal SOP dimaksud ditetapkan."
PERMEN_BUMN_No_1147_Tahun_2017_cleaned.txt,PASAL 8,"(1) Setiap kerja sama  dituangkan dalam pe rjanjian antara  BUMN dengan  Mitra.   (2) Perjanjian sebagaimana dimaksud pada ayat (1) harus  melindungi kepentingan BUMN paling sedikit  memuat  mengenai :  a. jenis dan nilai kompensasi/imbalan, cara  pembayaran dan/atau penyerahan, waktu  pembayaran dan penyerahan komp ensasi/imbalan;   b. hak dan kewajiban para pihak;   c. cidera  janji dan sanksi dalam hal Mitra  tidak  memenuhi kewajiban  kontraktualnya ;  d. penyelesaian  sengketa yang mengutamakan  penyelesaian melalui cara musyawarah dan   mufakat, serta  alternatif penyelesaian sengketa  beserta domisili /yurisdiksi  hukum;   e. pembebasan  (indemnity)  BUMN oleh Mitra dari  tanggungjawab hukum pada saat perjanjian kerja  sama  berakhir;   f. alih pengetahuan ( transfer of knowledge ) dari Mitra ke  BUMN  (jika ada) ;  g. berakhirnya  perjanjian dan konsekuensi yang   ditimbulkannya , termasuk mengenai penyerahan  kembali objek perjanjian  kerja sama; dan   h. tidak adanya ketentuan yang mengikat dan/atau  mewajibkan BUMN untuk memperpanjang perjanjian  kerja sama.   (3) Untuk kerja sama pembentukan perusahaan patungan  (joint venture  company ), ketentuan sebagaimana dimaksud  pada ayat (2) huruf g dan huruf h dapat tidak dimuat dalam  perjanjian antara BUMN dengan Mitra.   (4) Jenis kompensasi sebagaimana dimaksud pada ayat (2)  huruf a, dapat berupa uang , imbalan lain, atau manfaat  lain bagi p erusahaan maupun manfaat bagi Negara.   (5) Selain  memuat ketentuan sebagaimana dimaksud pada  ayat (2), untuk kerja sama  terkait dengan tanah, bangunan,  dan/atau  aset tetap milik BUMN, perjanjian sebagaimana  dimaksud pada ayat (1) paling sedikit memuat mengenai :  a. larangan untuk memindahtangankan, kecuali  apabila sejak awal kerja sama dilakukan dalam  rangka pemindahtanganan;   b. larangan untuk menjaminkan objek perjanjian;   c. larangan untuk mengikat jaminan yang melampaui  masa perjanjian atas bangunan/sarana/prasarana  hasil kerja sama ; dan  d. Jaminan Kualitas hasil kerja sama  pada saat  perjanjian berakhir."
PERMEN_BUMN_No_1147_Tahun_2017_cleaned.txt,PASAL 9,"Direksi wajib mengevaluasi perjanjian kerja sama  yang belum  dilaksanakan, apabila merugikan BUMN atau belum  memberikan keuntungan yang optimal, dengan tetap  mempe rhatikan ketentuan peraturan perundang -undangan."
PERMEN_BUMN_No_1147_Tahun_2017_cleaned.txt,PASAL 10,"Bagi Persero/Perseroan Terbatas yang tidak semua sahamnya  dimiliki oleh negara, pemberlakuan Peraturan Menteri ini  dilakukan melalui adopsi secara langsung oleh Direksi atau  melalui adopsi dengan penyesuaian oleh Direksi atau  pengukuhan dalam RUPS Persero/Perseroan Terbatas yang  bersangkutan ."
PERMEN_BUMN_No_1147_Tahun_2017_cleaned.txt,PASAL 11,"Bagi anak perusahaan BUMN dan perusahaan terafiliasi  BUMN, dapat memberlakukan Peraturan Menteri ini yang  dikukuhkan dalam RUPS anak perusahaan ata u perusahaan  terafiliasi yang bersangkutan."
